timestamp,pod,nr_periods,nr_throttled,throttled_usec
1771605127.247741217,auth-7f4858f94d-552bt,0,0,0
1771605127.247741217,execution-86bbf6bb8b-xlxsw,0,0,0
1771605127.247741217,gateway-5b6ccd5764-7rfl4,0,0,0
1771605127.247741217,jaeger-5b98486cdb-5chnh,10932,0,0
1771605127.247741217,marketdata-ccf9d766b-w8vpf,0,0,0
1771605127.247741217,redis-7c9f8cfd8-8fjd4,154601,1,6676
1771605127.247741217,risk-7496bd84f7-6p2w8,0,0,0
1771605127.247741217,rqdelay-cms88,0,0,0
1771605127.247741217,rqdelay-v9tjl,0,0,0
1771605128.070366296,auth-7f4858f94d-552bt,0,0,0
1771605128.070366296,execution-86bbf6bb8b-xlxsw,0,0,0
1771605128.070366296,gateway-5b6ccd5764-7rfl4,0,0,0
1771605128.070366296,gateway-695b648d4f-ltwgg,2,1,64334
1771605128.070366296,jaeger-5b98486cdb-5chnh,10935,0,0
1771605128.070366296,marketdata-74dd4b564c-pm4xr,3,1,103836
1771605128.070366296,marketdata-ccf9d766b-w8vpf,0,0,0
1771605128.070366296,redis-7c9f8cfd8-8fjd4,154608,1,6676
1771605128.070366296,risk-67c98ff578-rlv99,2,1,58219
1771605128.070366296,risk-7496bd84f7-6p2w8,0,0,0
1771605128.070366296,rqdelay-cms88,0,0,0
1771605128.070366296,rqdelay-v9tjl,0,0,0
1771605129.199315253,auth-7b7f6559d5-t7pnq,4,2,67448
1771605129.199315253,auth-7f4858f94d-552bt,0,0,0
1771605129.199315253,execution-6445bbb759-vk6xk,4,1,17918
1771605129.199315253,gateway-695b648d4f-ltwgg,6,1,64334
1771605129.199315253,jaeger-5b98486cdb-5chnh,10939,0,0
1771605129.199315253,marketdata-74dd4b564c-pm4xr,5,1,103836
1771605129.199315253,redis-7c9f8cfd8-8fjd4,154615,1,6676
1771605129.199315253,risk-67c98ff578-rlv99,6,1,58219
1771605129.199315253,rqdelay-cms88,0,0,0
1771605129.199315253,rqdelay-v9tjl,0,0,0
1771605130.325301556,auth-7b7f6559d5-t7pnq,6,2,67448
1771605130.325301556,execution-6445bbb759-vk6xk,6,1,17918
1771605130.325301556,gateway-695b648d4f-ltwgg,7,1,64334
1771605130.325301556,jaeger-5b98486cdb-5chnh,10939,0,0
1771605130.325301556,marketdata-74dd4b564c-pm4xr,7,1,103836
1771605130.325301556,redis-7c9f8cfd8-8fjd4,154621,1,6676
1771605130.325301556,risk-67c98ff578-rlv99,8,1,58219
1771605130.325301556,rqdelay-cms88,0,0,0
1771605130.325301556,rqdelay-v9tjl,0,0,0
1771605131.321280224,auth-7b7f6559d5-t7pnq,8,2,67448
1771605131.321280224,execution-6445bbb759-vk6xk,8,1,17918
1771605131.321280224,gateway-695b648d4f-ltwgg,7,1,64334
1771605131.321280224,jaeger-5b98486cdb-5chnh,10942,0,0
1771605131.321280224,marketdata-74dd4b564c-pm4xr,10,1,103836
1771605131.321280224,redis-7c9f8cfd8-8fjd4,154628,1,6676
1771605131.321280224,risk-67c98ff578-rlv99,10,1,58219
1771605131.321280224,rqdelay-cms88,0,0,0
1771605131.321280224,rqdelay-v9tjl,0,0,0
1771605132.087485153,auth-7b7f6559d5-t7pnq,10,2,67448
1771605132.087485153,execution-6445bbb759-vk6xk,8,1,17918
1771605132.087485153,gateway-695b648d4f-ltwgg,9,1,64334
1771605132.087485153,jaeger-5b98486cdb-5chnh,10944,0,0
1771605132.087485153,marketdata-74dd4b564c-pm4xr,12,1,103836
1771605132.087485153,redis-7c9f8cfd8-8fjd4,154632,1,6676
1771605132.087485153,risk-67c98ff578-rlv99,12,1,58219
1771605132.087485153,rqdelay-cms88,0,0,0
1771605132.087485153,rqdelay-v9tjl,0,0,0
1771605132.834195870,auth-7b7f6559d5-t7pnq,12,2,67448
1771605132.834195870,execution-6445bbb759-vk6xk,10,1,17918
1771605132.834195870,gateway-695b648d4f-ltwgg,11,1,64334
1771605132.834195870,jaeger-5b98486cdb-5chnh,10946,0,0
1771605132.834195870,marketdata-74dd4b564c-pm4xr,14,1,103836
1771605132.834195870,redis-7c9f8cfd8-8fjd4,154637,1,6676
1771605132.834195870,risk-67c98ff578-rlv99,14,1,58219
1771605132.834195870,rqdelay-cms88,0,0,0
1771605132.834195870,rqdelay-v9tjl,0,0,0
1771605133.591452810,auth-7b7f6559d5-t7pnq,14,2,67448
1771605133.591452810,execution-6445bbb759-vk6xk,12,1,17918
1771605133.591452810,gateway-695b648d4f-ltwgg,13,1,64334
1771605133.591452810,jaeger-5b98486cdb-5chnh,10948,0,0
1771605133.591452810,marketdata-74dd4b564c-pm4xr,16,1,103836
1771605133.591452810,redis-7c9f8cfd8-8fjd4,154642,1,6676
1771605133.591452810,risk-67c98ff578-rlv99,16,1,58219
1771605133.591452810,rqdelay-cms88,0,0,0
1771605133.591452810,rqdelay-v9tjl,0,0,0
1771605134.340327262,auth-7b7f6559d5-t7pnq,14,2,67448
1771605134.340327262,execution-6445bbb759-vk6xk,14,1,17918
1771605134.340327262,gateway-695b648d4f-ltwgg,15,1,64334
1771605134.340327262,jaeger-5b98486cdb-5chnh,10950,0,0
1771605134.340327262,marketdata-74dd4b564c-pm4xr,18,1,103836
1771605134.340327262,redis-7c9f8cfd8-8fjd4,154648,1,6676
1771605134.340327262,risk-67c98ff578-rlv99,18,1,58219
1771605134.340327262,rqdelay-cms88,0,0,0
1771605134.340327262,rqdelay-v9tjl,0,0,0
1771605135.086270969,auth-7b7f6559d5-t7pnq,16,2,67448
1771605135.086270969,execution-6445bbb759-vk6xk,16,1,17918
1771605135.086270969,gateway-695b648d4f-ltwgg,17,1,64334
1771605135.086270969,jaeger-5b98486cdb-5chnh,10952,0,0
1771605135.086270969,marketdata-74dd4b564c-pm4xr,20,1,103836
1771605135.086270969,redis-7c9f8cfd8-8fjd4,154652,1,6676
1771605135.086270969,risk-67c98ff578-rlv99,20,1,58219
1771605135.086270969,rqdelay-cms88,0,0,0
1771605135.086270969,rqdelay-v9tjl,0,0,0
1771605135.826314331,auth-7b7f6559d5-t7pnq,18,2,67448
1771605135.826314331,execution-6445bbb759-vk6xk,18,1,17918
1771605135.826314331,gateway-695b648d4f-ltwgg,17,1,64334
1771605135.826314331,jaeger-5b98486cdb-5chnh,10954,0,0
1771605135.826314331,marketdata-74dd4b564c-pm4xr,22,1,103836
1771605135.826314331,redis-7c9f8cfd8-8fjd4,154658,1,6676
1771605135.826314331,risk-67c98ff578-rlv99,22,1,58219
1771605135.826314331,rqdelay-cms88,0,0,0
1771605135.826314331,rqdelay-v9tjl,0,0,0
1771605136.612025146,auth-7b7f6559d5-t7pnq,20,2,67448
1771605136.612025146,execution-6445bbb759-vk6xk,20,1,17918
1771605136.612025146,gateway-695b648d4f-ltwgg,19,1,64334
1771605136.612025146,jaeger-5b98486cdb-5chnh,10956,0,0
1771605136.612025146,marketdata-74dd4b564c-pm4xr,24,1,103836
1771605136.612025146,redis-7c9f8cfd8-8fjd4,154662,1,6676
1771605136.612025146,risk-67c98ff578-rlv99,24,1,58219
1771605136.612025146,rqdelay-cms88,0,0,0
1771605136.612025146,rqdelay-v9tjl,0,0,0
1771605137.345048178,auth-7b7f6559d5-t7pnq,22,2,67448
1771605137.345048178,execution-6445bbb759-vk6xk,22,1,17918
1771605137.345048178,gateway-695b648d4f-ltwgg,21,1,64334
1771605137.345048178,jaeger-5b98486cdb-5chnh,10958,0,0
1771605137.345048178,marketdata-74dd4b564c-pm4xr,26,1,103836
1771605137.345048178,redis-7c9f8cfd8-8fjd4,154667,1,6676
1771605137.345048178,risk-67c98ff578-rlv99,26,1,58219
1771605137.345048178,rqdelay-cms88,0,0,0
1771605137.345048178,rqdelay-v9tjl,0,0,0
1771605138.091625191,auth-7b7f6559d5-t7pnq,24,2,67448
1771605138.091625191,execution-6445bbb759-vk6xk,24,1,17918
1771605138.091625191,gateway-695b648d4f-ltwgg,24,1,64334
1771605138.091625191,jaeger-5b98486cdb-5chnh,10960,0,0
1771605138.091625191,marketdata-74dd4b564c-pm4xr,31,4,558065
1771605138.091625191,redis-7c9f8cfd8-8fjd4,154674,1,6676
1771605138.091625191,risk-67c98ff578-rlv99,33,2,66509
1771605138.091625191,rqdelay-cms88,0,0,0
1771605138.091625191,rqdelay-v9tjl,0,0,0
1771605138.955888222,auth-7b7f6559d5-t7pnq,33,5,166291
1771605138.955888222,execution-6445bbb759-vk6xk,33,1,17918
1771605138.955888222,gateway-695b648d4f-ltwgg,33,7,293870
1771605138.955888222,jaeger-5b98486cdb-5chnh,10968,0,0
1771605138.955888222,marketdata-74dd4b564c-pm4xr,40,13,3429388
1771605138.955888222,redis-7c9f8cfd8-8fjd4,154683,1,6676
1771605138.955888222,risk-67c98ff578-rlv99,42,5,152093
1771605138.955888222,rqdelay-cms88,0,0,0
1771605138.955888222,rqdelay-v9tjl,0,0,0
1771605139.868371988,auth-7b7f6559d5-t7pnq,42,11,251100
1771605139.868371988,execution-6445bbb759-vk6xk,42,1,17918
1771605139.868371988,gateway-695b648d4f-ltwgg,42,12,468164
1771605139.868371988,jaeger-5b98486cdb-5chnh,10977,0,0
1771605139.868371988,marketdata-74dd4b564c-pm4xr,49,22,6549262
1771605139.868371988,redis-7c9f8cfd8-8fjd4,154692,1,6676
1771605139.868371988,risk-67c98ff578-rlv99,51,8,199532
1771605139.868371988,rqdelay-cms88,0,0,0
1771605139.868371988,rqdelay-v9tjl,0,0,0
1771605140.744228658,auth-7b7f6559d5-t7pnq,51,16,435478
1771605140.744228658,execution-6445bbb759-vk6xk,51,1,17918
1771605140.744228658,gateway-695b648d4f-ltwgg,51,14,533186
1771605140.744228658,jaeger-5b98486cdb-5chnh,10986,0,0
1771605140.744228658,marketdata-74dd4b564c-pm4xr,58,31,8765511
1771605140.744228658,redis-7c9f8cfd8-8fjd4,154701,1,6676
1771605140.744228658,risk-67c98ff578-rlv99,60,11,298857
1771605140.744228658,rqdelay-cms88,0,0,0
1771605140.744228658,rqdelay-v9tjl,0,0,0
1771605141.710279308,auth-7b7f6559d5-t7pnq,61,21,669412
1771605141.710279308,execution-6445bbb759-vk6xk,61,1,17918
1771605141.710279308,gateway-695b648d4f-ltwgg,60,19,569528
1771605141.710279308,jaeger-5b98486cdb-5chnh,10996,0,0
1771605141.710279308,marketdata-74dd4b564c-pm4xr,67,40,11953320
1771605141.710279308,redis-7c9f8cfd8-8fjd4,154710,1,6676
1771605141.710279308,risk-67c98ff578-rlv99,69,15,402992
1771605141.710279308,rqdelay-cms88,0,0,0
1771605141.710279308,rqdelay-v9tjl,0,0,0
1771605142.586922927,auth-7b7f6559d5-t7pnq,70,29,1278010
1771605142.586922927,execution-6445bbb759-vk6xk,70,1,17918
1771605142.586922927,gateway-695b648d4f-ltwgg,69,26,658604
1771605142.586922927,jaeger-5b98486cdb-5chnh,11004,0,0
1771605142.586922927,marketdata-74dd4b564c-pm4xr,76,49,15065913
1771605142.586922927,redis-7c9f8cfd8-8fjd4,154719,1,6676
1771605142.586922927,risk-67c98ff578-rlv99,78,21,630547
1771605142.586922927,rqdelay-cms88,0,0,0
1771605142.586922927,rqdelay-v9tjl,0,0,0
1771605143.457671812,auth-7b7f6559d5-t7pnq,78,31,1357942
1771605143.457671812,execution-6445bbb759-vk6xk,78,1,27949
1771605143.457671812,gateway-695b648d4f-ltwgg,78,29,676810
1771605143.457671812,jaeger-5b98486cdb-5chnh,11011,0,0
1771605143.457671812,marketdata-74dd4b564c-pm4xr,84,57,18132339
1771605143.457671812,redis-7c9f8cfd8-8fjd4,154726,1,6676
1771605143.457671812,risk-67c98ff578-rlv99,86,22,672412
1771605143.457671812,rqdelay-cms88,0,0,0
1771605143.457671812,rqdelay-v9tjl,0,0,0
1771605144.252082070,auth-7b7f6559d5-t7pnq,86,34,1466088
1771605144.252082070,execution-6445bbb759-vk6xk,86,1,27949
1771605144.252082070,gateway-695b648d4f-ltwgg,86,33,730090
1771605144.252082070,jaeger-5b98486cdb-5chnh,11018,0,0
1771605144.252082070,marketdata-74dd4b564c-pm4xr,93,66,20981733
1771605144.252082070,redis-7c9f8cfd8-8fjd4,154735,1,6676
1771605144.252082070,risk-67c98ff578-rlv99,95,25,706450
1771605144.252082070,rqdelay-cms88,0,0,0
1771605144.252082070,rqdelay-v9tjl,0,0,0
1771605145.156523453,auth-7b7f6559d5-t7pnq,95,41,1897606
1771605145.156523453,execution-6445bbb759-vk6xk,95,1,27949
1771605145.156523453,gateway-695b648d4f-ltwgg,95,39,1070705
1771605145.156523453,jaeger-5b98486cdb-5chnh,11026,0,0
1771605145.156523453,marketdata-74dd4b564c-pm4xr,101,74,23042870
1771605145.156523453,redis-7c9f8cfd8-8fjd4,154743,1,6676
1771605145.156523453,risk-67c98ff578-rlv99,103,30,845561
1771605145.156523453,rqdelay-cms88,0,0,0
1771605145.156523453,rqdelay-v9tjl,0,0,0
1771605145.956685044,auth-7b7f6559d5-t7pnq,103,49,2261416
1771605145.956685044,execution-6445bbb759-vk6xk,103,1,38442
1771605145.956685044,gateway-695b648d4f-ltwgg,103,46,1407958
1771605145.956685044,jaeger-5b98486cdb-5chnh,11034,0,0
1771605145.956685044,marketdata-74dd4b564c-pm4xr,109,82,25046001
1771605145.956685044,redis-7c9f8cfd8-8fjd4,154750,1,6676
1771605145.956685044,risk-67c98ff578-rlv99,111,35,1039356
1771605145.956685044,rqdelay-cms88,0,0,0
1771605145.956685044,rqdelay-v9tjl,0,0,0
1771605146.747617643,auth-7b7f6559d5-t7pnq,111,54,2470616
1771605146.747617643,execution-6445bbb759-vk6xk,111,1,38442
1771605146.747617643,gateway-695b648d4f-ltwgg,111,52,1526013
1771605146.747617643,jaeger-5b98486cdb-5chnh,11041,0,0
1771605146.747617643,marketdata-74dd4b564c-pm4xr,117,90,27763316
1771605146.747617643,redis-7c9f8cfd8-8fjd4,154759,1,6676
1771605146.747617643,risk-67c98ff578-rlv99,119,39,1388271
1771605146.747617643,rqdelay-cms88,0,0,0
1771605146.747617643,rqdelay-v9tjl,0,0,0
1771605147.603792549,auth-7b7f6559d5-t7pnq,119,58,2656779
1771605147.603792549,execution-6445bbb759-vk6xk,120,1,38442
1771605147.603792549,gateway-695b648d4f-ltwgg,119,56,2051127
1771605147.603792549,jaeger-5b98486cdb-5chnh,11050,0,0
1771605147.603792549,marketdata-74dd4b564c-pm4xr,127,100,31101495
1771605147.603792549,redis-7c9f8cfd8-8fjd4,154768,1,6676
1771605147.603792549,risk-67c98ff578-rlv99,129,43,1600102
1771605147.603792549,rqdelay-cms88,0,0,0
1771605147.603792549,rqdelay-v9tjl,0,0,0
1771605148.541752403,auth-7b7f6559d5-t7pnq,129,59,2702298
1771605148.541752403,execution-6445bbb759-vk6xk,129,2,110410
1771605148.541752403,gateway-695b648d4f-ltwgg,129,65,2134697
1771605148.541752403,jaeger-5b98486cdb-5chnh,11058,0,0
1771605148.541752403,marketdata-74dd4b564c-pm4xr,135,108,33748721
1771605148.541752403,redis-7c9f8cfd8-8fjd4,154776,1,6676
1771605148.541752403,risk-67c98ff578-rlv99,137,44,1610042
1771605148.541752403,rqdelay-cms88,0,0,0
1771605148.541752403,rqdelay-v9tjl,0,0,0
1771605149.347363037,auth-7b7f6559d5-t7pnq,137,63,2867519
1771605149.347363037,execution-6445bbb759-vk6xk,137,2,110410
1771605149.347363037,gateway-695b648d4f-ltwgg,137,66,2134697
1771605149.347363037,jaeger-5b98486cdb-5chnh,11064,0,0
1771605149.347363037,marketdata-74dd4b564c-pm4xr,144,117,37023546
1771605149.347363037,redis-7c9f8cfd8-8fjd4,154785,1,6676
1771605149.347363037,risk-67c98ff578-rlv99,146,49,2222978
1771605149.347363037,rqdelay-cms88,0,0,0
1771605149.347363037,rqdelay-v9tjl,0,0,0
1771605150.258623103,auth-7b7f6559d5-t7pnq,146,69,3077468
1771605150.258623103,execution-6445bbb759-vk6xk,146,3,239129
1771605150.258623103,gateway-695b648d4f-ltwgg,148,73,3249156
1771605150.258623103,jaeger-5b98486cdb-5chnh,11074,0,0
1771605150.258623103,marketdata-74dd4b564c-pm4xr,153,125,38731271
1771605150.258623103,redis-7c9f8cfd8-8fjd4,154794,1,6676
1771605150.258623103,risk-67c98ff578-rlv99,155,50,2265554
1771605150.258623103,rqdelay-cms88,0,0,0
1771605150.258623103,rqdelay-v9tjl,0,0,0
1771605151.216142295,auth-7b7f6559d5-t7pnq,156,73,3133310
1771605151.216142295,execution-6445bbb759-vk6xk,156,3,239129
1771605151.216142295,gateway-695b648d4f-ltwgg,156,74,3421185
1771605151.216142295,jaeger-5b98486cdb-5chnh,11081,0,0
1771605151.216142295,marketdata-74dd4b564c-pm4xr,163,135,41137725
1771605151.216142295,redis-7c9f8cfd8-8fjd4,154804,1,6676
1771605151.216142295,risk-67c98ff578-rlv99,165,54,2655333
1771605151.216142295,rqdelay-cms88,0,0,0
1771605151.216142295,rqdelay-v9tjl,0,0,0
1771605152.178601497,auth-7b7f6559d5-t7pnq,165,79,3299623
1771605152.178601497,execution-6445bbb759-vk6xk,165,3,239129
1771605152.178601497,gateway-695b648d4f-ltwgg,166,81,3792385
1771605152.178601497,jaeger-5b98486cdb-5chnh,11091,0,0
1771605152.178601497,marketdata-74dd4b564c-pm4xr,173,145,42959730
1771605152.178601497,redis-7c9f8cfd8-8fjd4,154813,1,6676
1771605152.178601497,risk-67c98ff578-rlv99,175,61,3201991
1771605152.178601497,rqdelay-cms88,0,0,0
1771605152.178601497,rqdelay-v9tjl,0,0,0
1771605153.153649476,auth-7b7f6559d5-t7pnq,175,84,3430867
1771605153.153649476,execution-6445bbb759-vk6xk,176,4,343002
1771605153.153649476,gateway-695b648d4f-ltwgg,175,86,3913909
1771605153.153649476,jaeger-5b98486cdb-5chnh,11101,0,0
1771605153.153649476,marketdata-74dd4b564c-pm4xr,181,153,44869060
1771605153.153649476,redis-7c9f8cfd8-8fjd4,154820,1,6676
1771605153.153649476,risk-67c98ff578-rlv99,183,65,3606322
1771605153.153649476,rqdelay-cms88,0,0,0
1771605153.153649476,rqdelay-v9tjl,0,0,0
1771605153.975202468,auth-7b7f6559d5-t7pnq,184,90,3677444
1771605153.975202468,execution-6445bbb759-vk6xk,184,4,343002
1771605153.975202468,gateway-695b648d4f-ltwgg,183,90,4017935
1771605153.975202468,jaeger-5b98486cdb-5chnh,11109,0,0
1771605153.975202468,marketdata-74dd4b564c-pm4xr,190,162,47247587
1771605153.975202468,redis-7c9f8cfd8-8fjd4,154829,1,6676
1771605153.975202468,risk-67c98ff578-rlv99,192,69,3770783
1771605153.975202468,rqdelay-cms88,0,0,0
1771605153.975202468,rqdelay-v9tjl,0,0,0
1771605154.909514350,auth-7b7f6559d5-t7pnq,193,95,3918679
1771605154.909514350,execution-6445bbb759-vk6xk,193,4,343002
1771605154.909514350,gateway-695b648d4f-ltwgg,193,97,4234889
1771605154.909514350,jaeger-5b98486cdb-5chnh,11117,0,0
1771605154.909514350,marketdata-74dd4b564c-pm4xr,199,171,49968015
1771605154.909514350,redis-7c9f8cfd8-8fjd4,154838,1,6676
1771605154.909514350,risk-67c98ff578-rlv99,201,74,3881313
1771605154.909514350,rqdelay-cms88,0,0,0
1771605154.909514350,rqdelay-v9tjl,0,0,0
1771605155.783738475,auth-7b7f6559d5-t7pnq,201,98,4074716
1771605155.783738475,execution-6445bbb759-vk6xk,201,5,429802
1771605155.783738475,gateway-695b648d4f-ltwgg,201,100,4258400
1771605155.783738475,jaeger-5b98486cdb-5chnh,11125,0,0
1771605155.783738475,marketdata-74dd4b564c-pm4xr,208,180,52107142
1771605155.783738475,redis-7c9f8cfd8-8fjd4,154846,1,6676
1771605155.783738475,risk-67c98ff578-rlv99,210,79,4107752
1771605155.783738475,rqdelay-cms88,0,0,0
1771605155.783738475,rqdelay-v9tjl,0,0,0
1771605156.677259384,auth-7b7f6559d5-t7pnq,210,104,4567844
1771605156.677259384,execution-6445bbb759-vk6xk,210,5,429802
1771605156.677259384,gateway-695b648d4f-ltwgg,210,106,4328084
1771605156.677259384,jaeger-5b98486cdb-5chnh,11132,0,0
1771605156.677259384,marketdata-74dd4b564c-pm4xr,216,188,54419212
1771605156.677259384,redis-7c9f8cfd8-8fjd4,154854,1,6676
1771605156.677259384,risk-67c98ff578-rlv99,218,84,4221133
1771605156.677259384,rqdelay-cms88,0,0,0
1771605156.677259384,rqdelay-v9tjl,0,0,0
1771605157.482810188,auth-7b7f6559d5-t7pnq,218,109,4755550
1771605157.482810188,execution-6445bbb759-vk6xk,218,5,434831
1771605157.482810188,gateway-695b648d4f-ltwgg,219,111,4756473
1771605157.482810188,jaeger-5b98486cdb-5chnh,11141,0,0
1771605157.482810188,marketdata-74dd4b564c-pm4xr,226,198,57670185
1771605157.482810188,redis-7c9f8cfd8-8fjd4,154863,1,6676
1771605157.482810188,risk-67c98ff578-rlv99,228,91,4701095
1771605157.482810188,rqdelay-cms88,0,0,0
1771605157.482810188,rqdelay-v9tjl,0,0,0
1771605158.464767763,auth-7b7f6559d5-t7pnq,228,112,4874292
1771605158.464767763,execution-6445bbb759-vk6xk,228,5,434831
1771605158.464767763,gateway-695b648d4f-ltwgg,229,116,5049046
1771605158.464767763,jaeger-5b98486cdb-5chnh,11150,0,0
1771605158.464767763,marketdata-74dd4b564c-pm4xr,235,207,60457829
1771605158.464767763,redis-7c9f8cfd8-8fjd4,154872,1,6676
1771605158.464767763,risk-67c98ff578-rlv99,237,96,4952274
1771605158.464767763,rqdelay-cms88,0,0,0
1771605158.464767763,rqdelay-v9tjl,0,0,0
1771605159.386974379,auth-7b7f6559d5-t7pnq,237,115,5033748
1771605159.386974379,execution-6445bbb759-vk6xk,237,5,434831
1771605159.386974379,gateway-695b648d4f-ltwgg,237,124,5195967
1771605159.386974379,jaeger-5b98486cdb-5chnh,11158,0,0
1771605159.386974379,marketdata-74dd4b564c-pm4xr,244,216,63514123
1771605159.386974379,redis-7c9f8cfd8-8fjd4,154881,1,6676
1771605159.386974379,risk-67c98ff578-rlv99,246,98,4972836
1771605159.386974379,rqdelay-cms88,0,0,0
1771605159.386974379,rqdelay-v9tjl,0,0,0
1771605160.262992653,auth-7b7f6559d5-t7pnq,246,120,5235069
1771605160.262992653,execution-6445bbb759-vk6xk,246,5,434831
1771605160.262992653,gateway-695b648d4f-ltwgg,247,131,5396776
1771605160.262992653,jaeger-5b98486cdb-5chnh,11166,0,0
1771605160.262992653,marketdata-74dd4b564c-pm4xr,254,226,65667790
1771605160.262992653,redis-7c9f8cfd8-8fjd4,154891,1,6676
1771605160.262992653,risk-67c98ff578-rlv99,256,102,5084678
1771605160.262992653,rqdelay-cms88,0,0,0
1771605160.262992653,rqdelay-v9tjl,0,0,0
1771605161.255783417,auth-7b7f6559d5-t7pnq,256,127,5554351
1771605161.255783417,execution-6445bbb759-vk6xk,256,6,479747
1771605161.255783417,gateway-695b648d4f-ltwgg,257,136,5648095
1771605161.255783417,jaeger-5b98486cdb-5chnh,11176,0,0
1771605161.255783417,marketdata-74dd4b564c-pm4xr,264,236,68654928
1771605161.255783417,redis-7c9f8cfd8-8fjd4,154901,1,6676
1771605161.255783417,risk-67c98ff578-rlv99,266,105,5145926
1771605161.255783417,rqdelay-cms88,0,0,0
1771605161.255783417,rqdelay-v9tjl,0,0,0
1771605162.252240603,auth-7b7f6559d5-t7pnq,266,130,5724184
1771605162.252240603,execution-6445bbb759-vk6xk,266,6,489859
1771605162.252240603,gateway-695b648d4f-ltwgg,267,142,5916675
1771605162.252240603,jaeger-5b98486cdb-5chnh,11184,0,0
1771605162.252240603,marketdata-74dd4b564c-pm4xr,273,245,71710028
1771605162.252240603,redis-7c9f8cfd8-8fjd4,154909,1,6676
1771605162.252240603,risk-67c98ff578-rlv99,275,109,5379661
1771605162.252240603,rqdelay-cms88,0,0,0
1771605162.252240603,rqdelay-v9tjl,0,0,0
1771605163.203880283,auth-7b7f6559d5-t7pnq,275,133,5821935
1771605163.203880283,execution-6445bbb759-vk6xk,276,6,489859
1771605163.203880283,gateway-695b648d4f-ltwgg,275,150,6741006
1771605163.203880283,jaeger-5b98486cdb-5chnh,11191,0,0
1771605163.203880283,marketdata-74dd4b564c-pm4xr,282,254,73704882
1771605163.203880283,redis-7c9f8cfd8-8fjd4,154918,1,6676
1771605163.203880283,risk-67c98ff578-rlv99,284,112,5461173
1771605163.203880283,rqdelay-cms88,0,0,0
1771605163.203880283,rqdelay-v9tjl,0,0,0
1771605164.045401156,auth-7b7f6559d5-t7pnq,284,136,5913004
1771605164.045401156,execution-6445bbb759-vk6xk,284,6,489859
1771605164.045401156,gateway-695b648d4f-ltwgg,284,153,6745614
1771605164.045401156,jaeger-5b98486cdb-5chnh,11198,0,0
1771605164.045401156,marketdata-74dd4b564c-pm4xr,289,261,76030853
1771605164.045401156,redis-7c9f8cfd8-8fjd4,154926,1,6676
1771605164.045401156,risk-67c98ff578-rlv99,291,115,5497946
1771605164.045401156,rqdelay-cms88,0,0,0
1771605164.045401156,rqdelay-v9tjl,0,0,0
1771605164.809486230,auth-7b7f6559d5-t7pnq,292,141,6201094
1771605164.809486230,execution-6445bbb759-vk6xk,292,6,495017
1771605164.809486230,gateway-695b648d4f-ltwgg,291,159,6940571
1771605164.809486230,jaeger-5b98486cdb-5chnh,11206,0,0
1771605164.809486230,marketdata-74dd4b564c-pm4xr,298,270,77544628
1771605164.809486230,redis-7c9f8cfd8-8fjd4,154935,1,6676
1771605164.809486230,risk-67c98ff578-rlv99,300,119,5633363
1771605164.809486230,rqdelay-cms88,0,0,0
1771605164.809486230,rqdelay-v9tjl,0,0,0
1771605165.668074266,auth-7b7f6559d5-t7pnq,300,147,6498457
1771605165.668074266,execution-6445bbb759-vk6xk,300,7,561928
1771605165.668074266,gateway-695b648d4f-ltwgg,301,163,7157777
1771605165.668074266,jaeger-5b98486cdb-5chnh,11215,0,0
1771605165.668074266,marketdata-74dd4b564c-pm4xr,307,279,80639002
1771605165.668074266,redis-7c9f8cfd8-8fjd4,154944,1,6676
1771605165.668074266,risk-67c98ff578-rlv99,309,123,5705146
1771605165.668074266,rqdelay-cms88,0,0,0
1771605165.668074266,rqdelay-v9tjl,0,0,0
1771605166.554995817,auth-7b7f6559d5-t7pnq,309,152,6830268
1771605166.554995817,execution-6445bbb759-vk6xk,309,7,561928
1771605166.554995817,gateway-695b648d4f-ltwgg,309,166,7235251
1771605166.554995817,jaeger-5b98486cdb-5chnh,11222,0,0
1771605166.554995817,marketdata-74dd4b564c-pm4xr,316,288,82987916
1771605166.554995817,redis-7c9f8cfd8-8fjd4,154953,1,6676
1771605166.554995817,risk-67c98ff578-rlv99,318,126,5825828
1771605166.554995817,rqdelay-cms88,0,0,0
1771605166.554995817,rqdelay-v9tjl,0,0,0
1771605167.491621762,auth-7b7f6559d5-t7pnq,318,157,7111959
1771605167.491621762,execution-6445bbb759-vk6xk,318,7,561928
1771605167.491621762,gateway-695b648d4f-ltwgg,319,170,7796348
1771605167.491621762,jaeger-5b98486cdb-5chnh,11231,0,0
1771605167.491621762,marketdata-74dd4b564c-pm4xr,326,298,86041794
1771605167.491621762,redis-7c9f8cfd8-8fjd4,154963,1,6676
1771605167.491621762,risk-67c98ff578-rlv99,328,131,5968335
1771605167.491621762,rqdelay-cms88,0,0,0
1771605167.491621762,rqdelay-v9tjl,0,0,0
1771605168.464691893,auth-7b7f6559d5-t7pnq,328,162,7258385
1771605168.464691893,execution-6445bbb759-vk6xk,327,7,572146
1771605168.464691893,gateway-695b648d4f-ltwgg,326,175,8052832
1771605168.464691893,jaeger-5b98486cdb-5chnh,11236,0,0
1771605168.464691893,marketdata-74dd4b564c-pm4xr,331,301,86328626
1771605168.464691893,redis-7c9f8cfd8-8fjd4,154968,1,6676
1771605168.464691893,risk-67c98ff578-rlv99,330,131,5968335
